/ Грузовой электротрицикл D4 NEXT 1800 60V 1200W,269 700 ₽,Послезавтра,250226924
/ Грузовой электрический трицикл Гибрид 1500 60V 1000W,289 700 ₽,Послезавтра,250250226
/ Грузовой электрический трицикл Гибрид 1500 60V 1000W,289 700 ₽,Послезавтра,250251745
/ Грузовой электротрицикл D4 NEXT 1800 60V 1200W,269 700 ₽,Послезавтра,250207143
"/ Элeктpичeский Гольфкap HS2DGF-3, Электрокар",899 000 ₽,3 октября,258084857
/ Мотоцикл F6 Racing 175FMN PR300 2023,324 000 ₽,11 октября,228486918
/ Мотоцикл F6 Lite Racing 172FMM PR 2023,308 000 ₽,11 октября,228476312
/ Мотоцикл F5 Racing 172FMM 250cc 2023,249 900 ₽,11 октября,228403967
/ Мотоцикл 300 CBR,270 030 ₽,22 октября,260071641
/ Мотоцикл дорожный 250 MT (172FMM-5 PR250) синий,216 110 ₽,22 октября,260071640
/ Питбайк 125 SX 125 E 19 16,123 110 ₽,22 октября,256588978
/ Мопед Альфа Forester RS 11 (LM48-B) синий 18 18 (A),96 790 ₽,22 октября,260060453
/ Мопед Альфа Forester RS 11 (LM48-B) черный 18 18 (A),96 790 ₽,22 октября,260061573
Мопед ROCKOT ALPHA OFFROAD M-12 (черный матовый),96 240 ₽,16 октября,256272095
Мопед ROCKOT ALPHA OFFROAD M-12 (черный глянцевый),96 240 ₽,16 октября,256272094
/ Мотоцикл M5 300 300 куб.см. 24 л.с,303 590 ₽,22 октября,234975966
/ Мотоцикл X3 300 PRO EFI 300 куб.см. 24 л.с,299 400 ₽,22 октября,234976157
/ Мотоцикл XT 250 ST 250 куб.см. 21 л.с,298 570 ₽,22 октября,234976127
/ Мотоцикл GS ENDURO (172FMM-5PR250) (XL250-B),276 090 ₽,22 октября,234976073
/ Мотоцикл M4 300 300 куб.см. 24 л.с,265 540 ₽,22 октября,234975997
/ Мотоцикл M4 300 300 куб.см. 24 л.с,265 540 ₽,22 октября,234975907
/ Мотоцикл Кросс FX 250 (172FMM-3A) синий,263 450 ₽,22 октября,234976108
/ Мотоцикл Кросс 250 FX250 (172FMM-3A),263 450 ₽,22 октября,260085001
/ Мотоцикл ST 300 (PR5 4V) 300 куб.см. 28 л.с,263 340 ₽,22 октября,234975910
/ Мотоцикл XT300 ST (174MM-3) 300 куб.см. 26 л.с,252 270 ₽,22 октября,234976023
/ Мотоцикл XT300 ST (174MM-3) 300 куб.см. 26 л.с,252 270 ₽,22 октября,234976138
/ Мотоцикл XT300 ST (175FMM PR5 4V),250 790 ₽,22 октября,234976168
/ Мотоцикл Кросс EC 250,250 710 ₽,22 октября,234976052
/ Мотоцикл M3 300 4V 300 куб.см. 24 л.с,246 830 ₽,22 октября,234976118
/ Мотоцикл X3 300W PRO 300 куб.см. 26 л.с,246 390 ₽,22 октября,234976001
/ Мотоцикл PWR FZ300 (PR5 4V) 300 куб.см. 28 л.с. Кросс,246 320 ₽,22 октября,234821280
/ Мотоцикл дорожный CB 250 красный,243 090 ₽,22 октября,234976156
/ Мотоцикл SX 250 (172FMM) 250 куб.см. 21 л.с,243 090 ₽,22 октября,234976155
/ Мотоцикл SMX300 PRO (175FMN) 300 куб.см. 25 л.с,234 850 ₽,22 октября,234976057
/ Мотоцикл XT 250 ST-FA 250 куб.см. 21 л.с,229 800 ₽,22 октября,234975996
/ Мотоцикл XT300 HS (175FMM 4V) 300 куб.см. 25 л.с,229 650 ₽,22 октября,234976161
/ Мотоцикл XT300 HS (175FMM 4V) 300 куб.см. 24 л.с,229 650 ₽,22 октября,234975956
/ Мотоцикл XT300 HS (PR5 4V) 300 куб.см. 28 л.с,229 570 ₽,22 октября,234976119
/ Скутер T-MAX 150 (WY150-5E),226 350 ₽,22 октября,234976039
/ Мотоцикл M3 300 (175FMN) 300 куб.см. 24 л.с,223 220 ₽,22 октября,234976141
/ Мотоцикл дорожный MT 250 (172FMM-5 PR250) (XL250-F),216 110 ₽,22 октября,234975950
/ Мотоцикл дорожный MT 250 (172FMM-5PR250) (XL250-F),216 110 ₽,22 октября,234975988
/ Мотоцикл XR300 ENDURO 300 куб.см. 25 л.с,212 520 ₽,22 октября,234975935
/ Мотоцикл X3 250 PRO (172FMM) 250 куб.см. 21 л.с,202 110 ₽,22 октября,234976050
/ Мотоцикл X3 250 PRO (172FMM) 250 см 21 л.с,202 110 ₽,22 октября,234976134
